r1	NC_009925.0
r68163	NC_004547.2
r68164	NC_004547.3
r68165	NC_004547.4
r68166	NC_003454.0
r68167	NC_003454.1
r68168	NC_003454.2
r68169	NC_003454.3
r68170	NC_003454.4
r68171	NC_006510.0
r68172	NC_006510.1
r68173	NC_006510.2
r68174	NC_006510.3
r68175	NC_006510.4
r68176	NC_010718.0
r68177	NC_010718.1
r68178	NC_010718.2
r68179	NC_010718.3
r68180	NC_010718.4
r68181	NC_010681.0
r68182	NC_010681.1
r68183	NC_010681.2
r68184	NC_010681.3
r68185	NC_010681.4
r68186	NC_010676.0
r68187	NC_010676.1
r68188	NC_010676.2
r68189	NC_010676.3
r68190	NC_010676.4
r68191	NC_010679.0
r68192	NC_010679.1
r68193	NC_010679.2
r68194	NC_010679.3
r68195	NC_010679.4
r68196	NC_010673.0
r68197	NC_010673.1
r68198	NC_010673.2
r68199	NC_010673.3
r68200	NC_010673.4
r68201	NC_011295.0
r68202	NC_011295.1
r68203	NC_011295.2
r68204	NC_011295.3
r68205	NC_011295.4
r68206	NC_006582.0
r68207	NC_006582.1
r68208	NC_006582.2
r68209	NC_006582.3
r68210	NC_006582.4
r68211	NC_009464.0
r68212	NC_009464.1
r68213	NC_009464.2
r68214	NC_009464.3
r68215	NC_009464.4
r68216	NC_008618.0
r68217	NC_008618.1
r68218	NC_008618.2
r68219	NC_008618.3
r68220	NC_008618.4
r68221	NC_007677.0
r68222	NC_007677.1
r68223	NC_007677.2
r68224	NC_007677.3
r68225	NC_007677.4
r68226	NC_003198.0
r68227	NC_003198.1
r68228	NC_003198.2
r68229	NC_003198.3
r68230	NC_003198.4
r68231	NC_003384.0
r68232	NC_003384.1
r68233	NC_003384.2
r68234	NC_003384.3
r68235	NC_003384.4
r68236	NC_003385.0
r68237	NC_003385.1
r68238	NC_003385.2
r68239	NC_003385.3
r68240	NC_003385.4
r68241	NC_003197.0
r68242	NC_003197.1
r68243	NC_003197.2
r68244	NC_003197.3
r68245	NC_003197.4
r68246	NC_003277.0
r68247	NC_003277.1
r68248	NC_003277.2
r68249	NC_003277.3
r68250	NC_003277.4
r68251	NC_004347.0
r68252	NC_004347.1
r68253	NC_004347.2
r68254	NC_004347.3
r68255	NC_004347.4
r68256	NC_004349.0
r68257	NC_004349.1
r68258	NC_004349.2
r68259	NC_004349.3
r68260	NC_004349.4
r68261	NC_007517.0
r68262	NC_007517.1
r68263	NC_007517.2
r68264	NC_007517.3
r68265	NC_007517.4
r68266	NC_002939.0
r68267	NC_002939.1
r68268	NC_002939.2
r68269	NC_002939.3
r68270	NC_002939.4
r68271	NC_005125.0
r68272	NC_005125.1
r68273	NC_005125.2
r68274	NC_005125.3
r68275	NC_005125.4
r68276	NC_006672.0
r68277	NC_006672.1
r68278	NC_006672.2
r68279	NC_006672.3
r68280	NC_006672.4
r68281	NC_006677.0
r68282	NC_006677.1
r68283	NC_006677.2
r68284	NC_006677.3
r68285	NC_006677.4
r68286	NC_002940.0
r68287	NC_002940.1
r68288	NC_002940.2
r68289	NC_002940.3
r68290	NC_002940.4
r68291	NC_007645.0
r68292	NC_007645.1
r68293	NC_007645.2
r68294	NC_007645.3
r68295	NC_007645.4
r68296	NC_006392.0
r68297	NC_006392.1
r68298	NC_006392.2
r68299	NC_006392.3
r68300	NC_006392.4
r68301	NC_006393.0
r68302	NC_006393.1
r68303	NC_006393.2
r68304	NC_006393.3
r68305	NC_006393.4
r68306	NC_006394.0
r68307	NC_006394.1
r68308	NC_006394.2
r68309	NC_006394.3
r68310	NC_006394.4
r68311	NC_006395.0
r68312	NC_006395.1
r68313	NC_006395.2
r68314	NC_006395.3
r68315	NC_006395.4
r68316	NC_006396.0
r68317	NC_006396.1
r68318	NC_006396.2
r68319	NC_006396.3
r68320	NC_006396.4
r68321	NC_006397.0
r68322	NC_006397.1
r68323	NC_006397.2
r68324	NC_006397.3
r68325	NC_006397.4
r68326	NC_004917.0
r68327	NC_004917.1
r68328	NC_004917.2
r68329	NC_004917.3
r68330	NC_004917.4
r68331	NC_006512.0
r68332	NC_006512.1
r68333	NC_006512.2
r68334	NC_006512.3
r68335	NC_006512.4
r68336	NC_006814.0
r68337	NC_006814.1
r68338	NC_006814.2
r68339	NC_006814.3
r68340	NC_006814.4
r68341	NC_005362.0
r68342	NC_005362.1
r68343	NC_005362.2
r68344	NC_005362.3
r68345	NC_005362.4
r68346	NC_004567.0
r68347	NC_004567.1
r68348	NC_004567.2
r68349	NC_004567.3
r68350	NC_004567.4
r68351	NC_007576.0
r68352	NC_007576.1
r68353	NC_007576.2
r68354	NC_007576.3
r68355	NC_007576.4
r68356	NC_003212.0
r68357	NC_003212.1
r68358	NC_003212.2
r68359	NC_003212.3
r68360	NC_003212.4
r68361	NC_003383.0
r68362	NC_003383.1
r68363	NC_003383.2
r68364	NC_003383.3
r68365	NC_003383.4
r68366	NC_002570.0
r68367	NC_002570.1
r68368	NC_002570.2
r68369	NC_002570.3
r68370	NC_002570.4
r68371	NC_000964.0
r68372	NC_000964.1
r68373	NC_000964.2
r68374	NC_000964.3
r68375	NC_000964.4
r68376	NC_004663.0
r68377	NC_004663.1
r68378	NC_004663.2
r68379	NC_004663.3
r68380	NC_004663.4
r68381	NC_005956.0
r68382	NC_005956.1
r68383	NC_005956.2
r68384	NC_005956.3
r68385	NC_005956.4
r68386	NC_005955.0
r68387	NC_005955.1
r68388	NC_005955.2
r68389	NC_005955.3
r68390	NC_005955.4
r68391	NC_005363.0
r68392	NC_005363.1
r68393	NC_005363.2
r68394	NC_005363.3
r68395	NC_005363.4
r68396	NC_002927.0
r68397	NC_002927.1
r68398	NC_002927.2
r68399	NC_002927.3
r68400	NC_002927.4
r68401	NC_005070.0
r68402	NC_005070.1
r68403	NC_005070.2
r68404	NC_005070.3
r68405	NC_005070.4
r68406	NC_000911.0
r68407	NC_000911.1
r68408	NC_000911.2
r68409	NC_000911.3
r68410	NC_000911.4
r68411	NC_005229.0
r68412	NC_005229.1
r68413	NC_005229.2
r68414	NC_005229.3
r68415	NC_005229.4
r68416	NC_005230.0
r68417	NC_005230.1
r68418	NC_005230.2
r68419	NC_005230.3
r68420	NC_005230.4
r68421	NC_005232.0
r68422	NC_005232.1
r68423	NC_005232.2
r68424	NC_005232.3
r68425	NC_005232.4
r68426	NC_003869.0
r68427	NC_003869.1
r68428	NC_003869.2
r68429	NC_003869.3
r68430	NC_003869.4
r68431	NC_006624.0
r68432	NC_006624.1
r68433	NC_006624.2
r68434	NC_006624.3
r68435	NC_006624.4
r68436	NC_007606.0
r68437	NC_007606.1
r68438	NC_007606.2
r68439	NC_007606.3
r68440	NC_007606.4
r68441	NC_007607.0
r68442	NC_007607.1
r68443	NC_007607.2
r68444	NC_007607.3
r68445	NC_007607.4
r68446	NC_007384.0
r68447	NC_007384.1
r68448	NC_007384.2
r68449	NC_007384.3
r68450	NC_007384.4
r68451	NC_007385.0
r68452	NC_007385.1
r68453	NC_007385.2
r68454	NC_007385.3
r68455	NC_007385.4
r68456	NC_003911.0
r68457	NC_003911.1
r68458	NC_003911.2
r68459	NC_003911.3
r68460	NC_003911.4
r68461	NC_006569.0
r68462	NC_006569.1
r68463	NC_006569.2
r68464	NC_006569.3
r68465	NC_006569.4
r68466	NC_003037.0
r68467	NC_003037.1
r68468	NC_003037.2
r68469	NC_003037.3
r68470	NC_003037.4
r68471	NC_003047.0
r68472	NC_003047.1
r68473	NC_003047.2
r68474	NC_003047.3
r68475	NC_003047.4
r68476	NC_003078.0
r68477	NC_003078.1
r68478	NC_003078.2
r68479	NC_003078.3
r68480	NC_003078.4
r68481	NC_007168.0
r68482	NC_007168.1
r68483	NC_007168.2
r68484	NC_007168.3
r68485	NC_007168.4
r68486	NC_008530.0
r68487	NC_008530.1
r68488	NC_008530.2
r68489	NC_008530.3
r68490	NC_008530.4
r68491	NC_008700.0
r68492	NC_008700.1
r68493	NC_008700.2
r68494	NC_008700.3
r68495	NC_008700.4
r68496	NC_008709.0
r68497	NC_008709.1
r68498	NC_008709.2
r68499	NC_008709.3
r68500	NC_008709.4
r68501	NC_008554.0
r68502	NC_008554.1
r68503	NC_008554.2
r68504	NC_008554.3
r68505	NC_008554.4
r68506	NC_008555.0
r68507	NC_008555.1
r68508	NC_008555.2
r68509	NC_008555.3
r68510	NC_008555.4
r68511	NC_008726.0
r68512	NC_008726.1
r68513	NC_008726.2
r68514	NC_008726.3
r68515	NC_008726.4
r68516	NC_008553.0
r68517	NC_008553.1
r68518	NC_008553.2
r68519	NC_008553.3
r68520	NC_008553.4
r68521	NC_008321.0
r68522	NC_008321.1
r68523	NC_008321.2
r68524	NC_008321.3
r68525	NC_008321.4
r68526	NC_008322.0
r68527	NC_008322.1
r68528	NC_008322.2
r68529	NC_008322.3
r68530	NC_008322.4
r68531	NC_008573.0
r68532	NC_008573.1
r68533	NC_008573.2
r68534	NC_008573.3
r68535	NC_008573.4
r68536	NC_008577.0
r68537	NC_008577.1
r68538	NC_008577.2
r68539	NC_008577.3
r68540	NC_008577.4
r68541	NC_008576.0
r68542	NC_008576.1
r68543	NC_008576.2
r68544	NC_008576.3
r68545	NC_008576.4
r68546	NC_010381.0
r68547	NC_010381.1
r68548	NC_010381.2
r68549	NC_010381.3
r68550	NC_010381.4
r68551	NC_010382.0
r68552	NC_010382.1
r68553	NC_010382.2
r68554	NC_010382.3
r68555	NC_010382.4
r68556	NC_009776.0
r68557	NC_009776.1
r68558	NC_009776.2
r68559	NC_009776.3
r68560	NC_009776.4
r68561	NC_008343.0
r68562	NC_008343.1
r68563	NC_008343.2
r68564	NC_008343.3
r68565	NC_008343.4
r68566	NC_008701.0
r68567	NC_008701.1
r68568	NC_008701.2
r68569	NC_008701.3
r68570	NC_008701.4
r68571	NC_008345.0
r68572	NC_008345.1
r68573	NC_008345.2
r68574	NC_008345.3
r68575	NC_008345.4
r68576	NC_008607.0
r68577	NC_008607.1
r68578	NC_008607.2
r68579	NC_008607.3
r68580	NC_008607.4
r68581	NC_008609.0
r68582	NC_008609.1
r68583	NC_008609.2
r68584	NC_008609.3
r68585	NC_008609.4
r68586	NC_008611.0
r68587	NC_008611.1
r68588	NC_008611.2
r68589	NC_008611.3
r68590	NC_008611.4
r68591	NC_009848.0
r68592	NC_009848.1
r68593	NC_009848.2
r68594	NC_009848.3
r68595	NC_009848.4
r68596	NC_009952.0
r68597	NC_009952.1
r68598	NC_009952.2
r68599	NC_009952.3
r68600	NC_009952.4
r68601	NC_009955.0
r68602	NC_009955.1
r68603	NC_009955.2
r68604	NC_009955.3
r68605	NC_009955.4
r68606	NC_009956.0
r68607	NC_009956.1
r68608	NC_009956.2
r68609	NC_009956.3
r68610	NC_009956.4
r68611	NC_009957.0
r68612	NC_009957.1
r68613	NC_009957.2
r68614	NC_009957.3
r68615	NC_009957.4
r68616	NC_009958.0
r68617	NC_009958.1
r68618	NC_009958.2
r68619	NC_009958.3
r68620	NC_009958.4
r68621	NC_009959.0
r68622	NC_009959.1
r68623	NC_009959.2
r68624	NC_009959.3
r68625	NC_009959.4
r68626	NC_009828.0
r68627	NC_009828.1
r68628	NC_009828.2
r68629	NC_009828.3
r68630	NC_009828.4
r68631	NC_010085.0
r68632	NC_010085.1
r68633	NC_010085.2
r68634	NC_010085.3
r68635	NC_010085.4
r68636	NC_010103.0
r68637	NC_010103.1
r68638	NC_010103.2
r68639	NC_010103.3
r68640	NC_010103.4
r68641	NC_010104.0
r68642	NC_010104.1
r68643	NC_010104.2
r68644	NC_010104.3
r68645	NC_010104.4
r68646	NC_010118.0
r68647	NC_010118.1
r68648	NC_010118.2
r68649	NC_010118.3
r68650	NC_010118.4
r68651	NC_007350.0
r68652	NC_007350.1
r68653	NC_007350.2
r68654	NC_007350.3
r68655	NC_007350.4
r68656	NC_004350.0
r68657	NC_004350.1
r68658	NC_004350.2
r68659	NC_004350.3
r68660	NC_004350.4
r68661	NC_007626.0
r68662	NC_007626.1
r68663	NC_007626.2
r68664	NC_007626.3
r68665	NC_007626.4
r68666	NC_006300.0
r68667	NC_006300.1
r68668	NC_006300.2
r68669	NC_006300.3
r68670	NC_006300.4
r68671	NC_006055.0
r68672	NC_006055.1
r68673	NC_006055.2
r68674	NC_006055.3
r68675	NC_006055.4
r68676	NC_002678.0
r68677	NC_002678.1
r68678	NC_002678.2
r68679	NC_002678.3
r68680	NC_002678.4
r68681	NC_002679.0
r68682	NC_002679.1
r68683	NC_002679.2
r68684	NC_002679.3
r68685	NC_002679.4
r68686	NC_002682.0
r68687	NC_002682.1
r68688	NC_002682.2
r68689	NC_002682.3
r68690	NC_002682.4
r68691	NC_000916.0
r68692	NC_000916.1
r68693	NC_000916.2
r68694	NC_000916.3
r68695	NC_000916.4
r68696	NC_000909.0
r68697	NC_000909.1
r68698	NC_000909.2
r68699	NC_000909.3
r68700	NC_000909.4
r68701	NC_003551.0
r68702	NC_003551.1
r68703	NC_003551.2
r68704	NC_003551.3
r68705	NC_003551.4
r68706	NC_003552.0
r68707	NC_003552.1
r68708	NC_003552.2
r68709	NC_003552.3
r68710	NC_003552.4
r68711	NC_003295.0
r68712	NC_003295.1
r68713	NC_003295.2
r68714	NC_003295.3
r68715	NC_003295.4
r68716	NC_003296.0
r68717	NC_003296.1
r68718	NC_003296.2
r68719	NC_003296.3
r68720	NC_003296.4
r68721	NC_007641.0
r68722	NC_007641.1
r68723	NC_007641.2
r68724	NC_007641.3
r68725	NC_007641.4
r68726	NC_007643.0
r68727	NC_007643.1
r68728	NC_007643.2
r68729	NC_007643.3
r68730	NC_007643.4
r68731	NC_003103.0
r68732	NC_003103.1
r68733	NC_003103.2
r68734	NC_003103.3
r68735	NC_003103.4
r68736	NC_007109.0
r68737	NC_007109.1
r68738	NC_007109.2
r68739	NC_007109.3
r68740	NC_007109.4
r68741	NC_007110.0
r68742	NC_007110.1
r68743	NC_007110.2
r68744	NC_007110.3
r68745	NC_007110.4
r68746	NC_000963.0
r68747	NC_000963.1
r68748	NC_000963.2
r68749	NC_000963.3
r68750	NC_000963.4
r68751	NC_006142.0
r68752	NC_006142.1
r68753	NC_006142.2
r68754	NC_006142.3
r68755	NC_006142.4
r68756	NC_009053.0
r68757	NC_009053.1
r68758	NC_009053.2
r68759	NC_009053.3
r68760	NC_009053.4
r68761	NC_010278.0
r68762	NC_010278.1
r68763	NC_010278.2
r68764	NC_010278.3
r68765	NC_010278.4
r68766	NC_010939.0
r68767	NC_010939.1
r68768	NC_010939.2
r68769	NC_010939.3
r68770	NC_010939.4
r68771	NC_003997.0
r68772	NC_003997.1
r68773	NC_003997.2
r68774	NC_003997.3
r68775	NC_003997.4
r68776	NC_007322.0
r68777	NC_007322.1
r68778	NC_007322.2
r68779	NC_007322.3
r68780	NC_007322.4
r68781	NC_007323.0
r68782	NC_007323.1
r68783	NC_007323.2
r68784	NC_007323.3
r68785	NC_007323.4
r68786	NC_007530.0
r68787	NC_007530.1
r68788	NC_007530.2
r68789	NC_007530.3
r68790	NC_007530.4
r68791	NC_005945.0
r68792	NC_005945.1
r68793	NC_005945.2
r68794	NC_005945.3
r68795	NC_005945.4
r68796	NC_004722.0
r68797	NC_004722.1
r68798	NC_004722.2
r68799	NC_004722.3
r68800	NC_004722.4
r68801	NC_003909.0
r68802	NC_003909.1
r68803	NC_003909.2
r68804	NC_003909.3
r68805	NC_003909.4
r68806	NC_005707.0
r68807	NC_005707.1
r68808	NC_005707.2
r68809	NC_005707.3
r68810	NC_005707.4
r68811	NC_006274.0
r68812	NC_006274.1
r68813	NC_006274.2
r68814	NC_006274.3
r68815	NC_006274.4
r68816	NC_007103.0
r68817	NC_007103.1
r68818	NC_007103.2
r68819	NC_007103.3
r68820	NC_007103.4
r68821	NC_007105.0
r68822	NC_007105.1
r68823	NC_007105.2
r68824	NC_007105.3
r68825	NC_007105.4
r68826	NC_009674.0
r68827	NC_009674.1
r68828	NC_009674.2
r68829	NC_009674.3
r68830	NC_009674.4
r68831	NC_006270.0
r68832	NC_006270.1
r68833	NC_006270.2
r68834	NC_006270.3
r68835	NC_006270.4
r68836	NC_006322.0
r68837	NC_006322.1
r68838	NC_006322.2
r68839	NC_006322.3
r68840	NC_006322.4
r68841	NC_008598.0
r68842	NC_008598.1
r68843	NC_008598.2
r68844	NC_008598.3
r68845	NC_008598.4
r68846	NC_008600.0
r68847	NC_008600.1
r68848	NC_008600.2
r68849	NC_008600.3
r68850	NC_008600.4
r68851	NC_005957.0
r68852	NC_005957.1
r68853	NC_005957.2
r68854	NC_005957.3
r68855	NC_005957.4
r68856	NC_006578.0
r68857	NC_006578.1
r68858	NC_006578.2
r68859	NC_006578.3
r68860	NC_006578.4
r68861	NC_003228.0
r68862	NC_003228.1
r68863	NC_003228.2
r68864	NC_003228.3
r68865	NC_003228.4
r68866	NC_006347.0
r68867	NC_006347.1
r68868	NC_006347.2
r68869	NC_006347.3
r68870	NC_006347.4
r68871	NC_004307.0
r68872	NC_004307.1
r68873	NC_004307.2
r68874	NC_004307.3
r68875	NC_004307.4
r68876	NC_010816.0
r68877	NC_010816.1
r68878	NC_010816.2
r68879	NC_010816.3
r68880	NC_010816.4
r68881	NC_006932.0
r68882	NC_006932.1
r68883	NC_006932.2
r68884	NC_006932.3
r68885	NC_006932.4
r68886	NC_006933.0
r68887	NC_006933.1
r68888	NC_006933.2
r68889	NC_006933.3
r68890	NC_006933.4
r68891	NC_010742.0
r68892	NC_010742.1
r68893	NC_010742.2
r68894	NC_010742.3
r68895	NC_010742.4
r68896	NC_010740.0
r68897	NC_010740.1
r68898	NC_010740.2
r68899	NC_010740.3
r68900	NC_010740.4
r68901	NC_007618.0
r68902	NC_007618.1
r68903	NC_007618.2
r68904	NC_007618.3
r68905	NC_007618.4
r68906	NC_007624.0
r68907	NC_007624.1
r68908	NC_007624.2
r68909	NC_007624.3
r68910	NC_007624.4
r68911	NC_003317.0
r68912	NC_003317.1
r68913	NC_003317.2
r68914	NC_003317.3
r68915	NC_003317.4
r68916	NC_003318.0
r68917	NC_003318.1
r68918	NC_003318.2
r68919	NC_003318.3
r68920	NC_003318.4
r68921	NC_004310.0
r68922	NC_004310.1
r68923	NC_004310.2
r68924	NC_004310.3
r68925	NC_004310.4
r68926	NC_004311.0
r68927	NC_004311.1
r68928	NC_004311.2
r68929	NC_004311.3
r68930	NC_004311.4
r68931	NC_010167.0
r68932	NC_010167.1
r68933	NC_010167.2
r68934	NC_010167.3
r68935	NC_010167.4
r68936	NC_010169.0
r68937	NC_010169.1
r68938	NC_010169.2
r68939	NC_010169.3
r68940	NC_010169.4
r68941	NC_002528.0
r68942	NC_002528.1
r68943	NC_002528.2
r68944	NC_002528.3
r68945	NC_002528.4
r68946	NC_008513.0
r68947	NC_008513.1
r68948	NC_008513.2
r68949	NC_008513.3
r68950	NC_008513.4
r68951	NC_004061.0
r68952	NC_004061.1
r68953	NC_004061.2
r68954	NC_004061.3
r68955	NC_004061.4
r68956	NC_004545.0
r68957	NC_004545.1
r68958	NC_004545.2
r68959	NC_004545.3
r68960	NC_004545.4
r68961	NC_008060.0
r68962	NC_008060.1
r68963	NC_008060.2
r68964	NC_008060.3
r68965	NC_008060.4
r68966	NC_008061.0
r68967	NC_008061.1
r68968	NC_008061.2
r68969	NC_008061.3
r68970	NC_008061.4
r68971	NC_008062.0
r68972	NC_008062.1
r68973	NC_008062.2
r68974	NC_008062.3
r68975	NC_008062.4
r68976	NC_008542.0
r68977	NC_008542.1
r68978	NC_008542.2
r68979	NC_008542.3
r68980	NC_008542.4
r68981	NC_008543.0
r68982	NC_008543.1
r68983	NC_008543.2
r68984	NC_008543.3
r68985	NC_008543.4
r68986	NC_008544.0
r68987	NC_008544.1
r68988	NC_008544.2
r68989	NC_008544.3
r68990	NC_008544.4
r68991	NC_008545.0
r68992	NC_008545.1
r68993	NC_008545.2
r68994	NC_008545.3
r68995	NC_008545.4
r68996	NC_011003.0
r68997	NC_011003.1
r68998	NC_011003.2
r68999	NC_011003.3
r69000	NC_011003.4
r69001	NC_011002.0
r69002	NC_011002.1
r69003	NC_011002.2
r69004	NC_011002.3
r69005	NC_011002.4
r69006	NC_011000.0
r69007	NC_011000.1
r69008	NC_011000.2
r69009	NC_011000.3
r69010	NC_011000.4
r69011	NC_011001.0
r69012	NC_011001.1
r69013	NC_011001.2
r69014	NC_011001.3
r69015	NC_011001.4
r69016	NC_010508.0
r69017	NC_010508.1
r69018	NC_010508.2
r69019	NC_010508.3
r69020	NC_010508.4
r69021	NC_010512.0
r69022	NC_010512.1
r69023	NC_010512.2
r69024	NC_010512.3
r69025	NC_010512.4
r69026	NC_010515.0
r69027	NC_010515.1
r69028	NC_010515.2
r69029	NC_010515.3
r69030	NC_010515.4
r69031	NC_006348.0
r69032	NC_006348.1
r69033	NC_006348.2
r69034	NC_006348.3
r69035	NC_006348.4
r69036	NC_006349.0
r69037	NC_006349.1
r69038	NC_006349.2
r69039	NC_006349.3
r69040	NC_006349.4
r69041	NC_008835.0
r69042	NC_008835.1
r69043	NC_008835.2
r69044	NC_008835.3
r69045	NC_008835.4
r69046	NC_008836.0
r69047	NC_008836.1
r69048	NC_008836.2
r69049	NC_008836.3
r69050	NC_008836.4
r69051	NC_009079.0
r69052	NC_009079.1
r69053	NC_009079.2
r69054	NC_009079.3
r69055	NC_009079.4
r69056	NC_009080.0
r69057	NC_009080.1
r69058	NC_009080.2
r69059	NC_009080.3
r69060	NC_009080.4
r69061	NC_008784.0
r69062	NC_008784.1
r69063	NC_008784.2
r69064	NC_008784.3
r69065	NC_008784.4
r69066	NC_008785.0
r69067	NC_008785.1
r69068	NC_008785.2
r69069	NC_008785.3
r69070	NC_008785.4
r69071	NC_010070.0
r69072	NC_010070.1
r69073	NC_010070.2
r69074	NC_010070.3
r69075	NC_010070.4
r69076	NC_010086.0
r69077	NC_010086.1
r69078	NC_010086.2
r69079	NC_010086.3
r69080	NC_010086.4
r69081	NC_010087.0
r69082	NC_010087.1
r69083	NC_010087.2
r69084	NC_010087.3
r69085	NC_010087.4
r69086	NC_010084.0
r69087	NC_010084.1
r69088	NC_010084.2
r69089	NC_010084.3
r69090	NC_010084.4
r69091	NC_010801.0
r69092	NC_010801.1
r69093	NC_010801.2
r69094	NC_010801.3
r69095	NC_010801.4
r69096	NC_010802.0
r69097	NC_010802.1
r69098	NC_010802.2
r69099	NC_010802.3
r69100	NC_010802.4
r69101	NC_010804.0
r69102	NC_010804.1
r69103	NC_010804.2
r69104	NC_010804.3
r69105	NC_010804.4
r69106	NC_010805.0
r69107	NC_010805.1
r69108	NC_010805.2
r69109	NC_010805.3
r69110	NC_010805.4
r69111	NC_009076.0
r69112	NC_009076.1
r69113	NC_009076.2
r69114	NC_009076.3
r69115	NC_009076.4
r69116	NC_009078.0
r69117	NC_009078.1
r69118	NC_009078.2
r69119	NC_009078.3
r69120	NC_009078.4
r69121	NC_007434.0
r69122	NC_007434.1
r69123	NC_007434.2
r69124	NC_007434.3
r69125	NC_007434.4
r69126	NC_007435.0
r69127	NC_007435.1
r69128	NC_007435.2
r69129	NC_007435.3
r69130	NC_007435.4
r69131	NC_009074.0
r69132	NC_009074.1
r69133	NC_009074.2
r69134	NC_009074.3
r69135	NC_009074.4
r69136	NC_009075.0
r69137	NC_009075.1
r69138	NC_009075.2
r69139	NC_009075.3
r69140	NC_009075.4
r69141	NC_006350.0
r69142	NC_006350.1
r69143	NC_006350.2
r69144	NC_006350.3
r69145	NC_006350.4
r69146	NC_006351.0
r69147	NC_006351.1
r69148	NC_006351.2
r69149	NC_006351.3
r69150	NC_006351.4
r69151	NC_002163.0
r69152	NC_002163.1
r69153	NC_002163.2
r69154	NC_002163.3
r69155	NC_002163.4
r69156	NC_008770.0
r69157	NC_008770.1
r69158	NC_008770.2
r69159	NC_008770.3
r69160	NC_008770.4
r69161	NC_008787.0
r69162	NC_008787.1
r69163	NC_008787.2
r69164	NC_008787.3
r69165	NC_008787.4
r69166	NC_008790.0
r69167	NC_008790.1
r69168	NC_008790.2
r69169	NC_008790.3
r69170	NC_008790.4
r69171	NC_009839.0
r69172	NC_009839.1
r69173	NC_009839.2
r69174	NC_009839.3
r69175	NC_009839.4
r69176	NC_003912.0
r69177	NC_003912.1
r69178	NC_003912.2
r69179	NC_003912.3
r69180	NC_003912.4
r69181	NC_009707.0
r69182	NC_009707.1
r69183	NC_009707.2
r69184	NC_009707.3
r69185	NC_009707.4
r69186	NC_000117.0
r69187	NC_000117.1
r69188	NC_000117.2
r69189	NC_000117.3
r69190	NC_000117.4
r69191	NC_010287.0
r69192	NC_010287.1
r69193	NC_010287.2
r69194	NC_010287.3
r69195	NC_010287.4
r69196	NC_007429.0
r69197	NC_007429.1
r69198	NC_007429.2
r69199	NC_007429.3
r69200	NC_007429.4
r69201	NC_010280.0
r69202	NC_010280.1
r69203	NC_010280.2
r69204	NC_010280.3
r69205	NC_010280.4
r69206	NC_002179.0
r69207	NC_002179.1
r69208	NC_002179.2
r69209	NC_002179.3
r69210	NC_002179.4
r69211	NC_000922.0
r69212	NC_000922.1
r69213	NC_000922.2
r69214	NC_000922.3
r69215	NC_000922.4
r69216	NC_002491.0
r69217	NC_002491.1
r69218	NC_002491.2
r69219	NC_002491.3
r69220	NC_002491.4
r69221	NC_005043.0
r69222	NC_005043.1
r69223	NC_005043.2
r69224	NC_005043.3
r69225	NC_005043.4
r69226	NC_010831.0
r69227	NC_010831.1
r69228	NC_010831.2
r69229	NC_010831.3
r69230	NC_010831.4
r69231	NC_008639.0
r69232	NC_008639.1
r69233	NC_008639.2
r69234	NC_008639.3
r69235	NC_008639.4
r69236	NC_009480.0
r69237	NC_009480.1
r69238	NC_009480.2
r69239	NC_009480.3
r69240	NC_009480.4
r69241	NC_009479.0
r69242	NC_009479.1
r69243	NC_009479.2
r69244	NC_009479.3
r69245	NC_009479.4
r69246	NC_010407.0
r69247	NC_010407.1
r69248	NC_010407.2
r69249	NC_010407.3
r69250	NC_010407.4
r69251	NC_010408.0
r69252	NC_010408.1
r69253	NC_010408.2
r69254	NC_010408.3
r69255	NC_010408.4
r69256	NC_010399.0
r69257	NC_010399.1
r69258	NC_010399.2
r69259	NC_010399.3
r69260	NC_010399.4
r69261	NC_009495.0
r69262	NC_009495.1
r69263	NC_009495.2
r69264	NC_009495.3
r69265	NC_009495.4
r69266	NC_010418.0
r69267	NC_010418.1
r69268	NC_010418.2
r69269	NC_010418.3
r69270	NC_010418.4
r69271	NC_010520.0
r69272	NC_010520.1
r69273	NC_010520.2
r69274	NC_010520.3
r69275	NC_010520.4
r69276	NC_009697.0
r69277	NC_009697.1
r69278	NC_009697.2
r69279	NC_009697.3
r69280	NC_009697.4
r69281	NC_009698.0
r69282	NC_009698.1
r69283	NC_009698.2
r69284	NC_009698.3
r69285	NC_009698.4
r69286	NC_010379.0
r69287	NC_010379.1
r69288	NC_010379.2
r69289	NC_010379.3
r69290	NC_010379.4
r69291	NC_010516.0
r69292	NC_010516.1
r69293	NC_010516.2
r69294	NC_010516.3
r69295	NC_010516.4
r69296	NC_010674.0
r69297	NC_010674.1
r69298	NC_010674.2
r69299	NC_010674.3
r69300	NC_010674.4
r69301	NC_010680.0
r69302	NC_010680.1
r69303	NC_010680.2
r69304	NC_010680.3
r69305	NC_010680.4
r69306	NC_010723.0
r69307	NC_010723.1
r69308	NC_010723.2
r69309	NC_010723.3
r69310	NC_010723.4
r69311	NC_009699.0
r69312	NC_009699.1
r69313	NC_009699.2
r69314	NC_009699.3
r69315	NC_009699.4
r69316	NC_003042.0
r69317	NC_003042.1
r69318	NC_003042.2
r69319	NC_003042.3
r69320	NC_003042.4
r69321	NC_003366.0
r69322	NC_003366.1
r69323	NC_003366.2
r69324	NC_003366.3
r69325	NC_003366.4
r69326	NC_008261.0
r69327	NC_008261.1
